Departure_Tm_Mnts,O_MSP,O_ATL,O_LAX,D_Sunday,D_Tuesday,D_Wednesady,D_Thursday,D_Friday,D_Saturday,O_Visibility,D_Visibility,Schd_Blk_Tm_Mnt_Ct,Domestic,International,D_June,D_July
0,1,0,0,0,0,0,0,0,1,10,10,106,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,83,1,0,1,0
0,0,0,1,0,0,0,1,0,0,10,10,121,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,58,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,83,1,0,0,1
5,0,1,0,0,0,0,1,0,0,7,10,93,1,0,1,0
1,0,1,0,0,0,1,0,0,0,9,10,88,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,198,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,130,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,69,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,103,1,0,1,0
1,0,1,0,0,0,0,0,1,0,10,10,322,1,0,0,1
2,0,1,0,0,0,0,0,0,1,10,10,116,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,56,1,0,0,1
1,0,1,0,1,0,0,0,0,0,10,10,262,1,0,0,1
0,1,0,0,0,1,0,0,0,0,10,10,169,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,137,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,128,1,0,0,1
2,0,1,0,0,0,1,0,0,0,9,10,91,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,7,208,0,1,1,0
8,0,1,0,0,0,0,0,0,1,10,10,159,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,266,1,0,1,0
0,0,0,1,0,0,0,0,1,0,10,10,147,1,0,0,1
0,1,0,0,0,0,0,1,0,0,10,10,111,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,71,1,0,0,1
-1,1,0,0,1,0,0,0,0,0,10,10,117,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,61,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,158,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,78,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,6,61,1,0,1,0
-1,0,1,0,0,0,1,0,0,0,9,10,55,1,0,1,0
0,0,0,1,0,0,1,0,0,0,10,10,307,1,0,1,0
0,1,0,0,0,0,1,0,0,0,10,10,97,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,66,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,145,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,72,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,87,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,129,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,53,1,0,0,1
0,0,0,1,0,0,0,0,0,1,10,10,256,1,0,0,1
0,1,0,0,0,0,0,0,1,0,10,10,91,1,0,0,1
0,1,0,0,0,1,0,0,0,0,10,10,70,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,109,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,100,1,0,1,0
1,0,1,0,0,1,0,0,0,0,10,10,90,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,119,1,0,0,1
0,1,0,0,0,0,0,1,0,0,10,10,144,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,2,68,1,0,1,0
1,1,0,0,1,0,0,0,0,0,10,10,53,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,91,1,0,0,1
1,0,1,0,0,1,0,0,0,0,10,10,115,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,239,1,0,0,1
1,0,0,1,0,1,0,0,0,0,10,10,169,1,0,1,0
-1,0,1,0,0,1,0,0,0,0,10,10,76,1,0,1,0
1,0,1,0,0,0,0,0,0,1,10,10,218,1,0,0,1
11,0,1,0,0,0,0,0,1,0,10,10,159,1,0,0,1
0,0,0,1,0,0,0,1,0,0,10,10,95,1,0,1,0
7,1,0,0,0,1,0,0,0,0,10,10,155,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,48,1,0,0,1
4,0,1,0,0,0,0,1,0,0,7,10,113,1,0,1,0
0,1,0,0,0,0,1,0,0,0,10,10,59,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,69,1,0,1,0
0,1,0,0,0,0,1,0,0,0,10,10,162,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,92,1,0,0,1
2,0,1,0,0,0,0,0,0,1,10,10,155,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,320,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,95,1,0,0,1
0,1,0,0,0,0,0,1,0,0,10,10,90,1,0,1,0
-1,0,1,0,0,0,0,1,0,0,7,10,133,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,155,1,0,1,0
1,1,0,0,0,0,0,0,0,1,10,10,221,1,0,0,1
0,0,1,0,0,0,1,0,0,0,9,10,65,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,57,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,68,1,0,0,1
0,1,0,0,0,0,0,1,0,0,10,10,56,1,0,1,0
